Designator,Mid X,Mid Y,Rotation,Layer
S52,361.95,-112.135,0.0,top
S53,381.0,-112.135,0.0,top
S54,402.4313,-102.61,0.0,top
S55,147.6375,-131.185,0.0,top
S56,176.2125,-131.185,0.0,top
S57,195.2625,-131.185,0.0,top
S58,214.3125,-131.185,0.0,top
S59,233.3625,-131.185,0.0,top
S6,261.9375,-45.46,0.0,top
S60,252.4125,-131.185,0.0,top
S61,271.4625,-131.185,0.0,top
S62,290.5125,-131.185,0.0,top
S63,309.5625,-131.185,0.0,top
S64,328.6125,-131.185,0.0,top
S65,347.6625,-131.185,0.0,top
S66,366.7125,-131.185,0.0,top
S67,395.2875,-131.185,0.0,top
S68,145.2563,-150.235,0.0,top
S69,171.45,-150.235,0.0,top
S7,280.9875,-45.46,0.0,top
S70,190.5,-150.235,0.0,top
S71,209.55,-150.235,0.0,top
S72,276.225,-150.235,0.0,top
S73,342.9,-150.235,0.0,top
S74,361.95,-150.235,0.0,top
S75,381.0,-150.235,0.0,top
S76,402.4313,-150.235,0.0,top
S77,428.625,-45.46,0.0,top
S78,447.675,-45.46,0.0,top
S79,466.725,-45.46,0.0,top
S8,300.0375,-45.46,0.0,top
S80,428.625,-74.035,0.0,top
S81,447.675,-74.035,0.0,top
S82,466.725,-74.035,0.0,top
S83,428.625,-93.085,0.0,top
S84,447.675,-93.085,0.0,top
S85,466.725,-93.085,0.0,top
S86,447.675,-131.185,0.0,top
S87,428.625,-150.235,0.0,top
S88,447.675,-150.235,0.0,top
S89,466.725,-150.235,0.0,top
S9,319.0875,-45.46,0.0,top
S90,490.5375,-74.035,0.0,top
S91,509.5875,-74.035,0.0,top
S92,528.6375,-74.035,0.0,top
S93,547.6875,-74.035,0.0,top
S94,490.5375,-93.085,0.0,top
S95,509.5875,-93.085,0.0,top
S96,528.6375,-93.085,0.0,top
S97,547.6875,-102.61,0.0,top
S98,490.5375,-112.135,0.0,top
S99,509.5875,-112.135,0.0,top
U1,111.0125,-64.885,0.0,top
